conc,replicate,time,living.larvae,living.pupae,emerged.midges,dead.larvae,dead.pupae,initial.population
0,1,0,9,0,0,0,0,20
0,1,1,,,,,,20
0,1,2,18,0,0,0,0,20
0,1,3,18,0,0,0,0,20
0,1,4,20,0,0,0,0,20
0,1,5,15,0,0,0,0,20
0,1,6,20,0,0,0,0,20
0,1,7,20,0,0,0,0,20
0,1,8,20,0,0,0,0,20
0,1,9,20,0,0,0,0,20
1,1,0,12,0,0,0,0,20
1,1,1,,,,,,20
1,1,2,18,0,0,0,0,20
1,1,3,20,0,0,0,0,20
1,1,4,19,0,0,0,0,20
1,1,5,19,0,0,0,0,20
1,1,6,20,0,0,0,0,20
1,1,7,20,0,0,0,0,20
1,1,8,20,0,0,0,0,20
1,1,9,20,0,0,0,0,20
10,1,0,7,0,0,0,0,20
10,1,1,,,,,,20
10,1,2,16,0,0,0,0,20
10,1,3,16,0,0,0,0,20
10,1,4,16,0,0,0,0,20
10,1,5,20,0,0,0,0,20
10,1,6,19,0,0,0,0,20
10,1,7,20,0,0,0,0,20
10,1,8,17,0,0,0,0,20
10,1,9,20,0,0,0,0,20
100,1,0,7,0,0,0,0,20
100,1,1,,,,,,20
100,1,2,16,0,0,0,0,20
100,1,3,14,0,0,0,0,20
100,1,4,18,0,0,2,0,20
100,1,5,10,0,0,1,0,20
100,1,6,16,0,0,0,0,20
100,1,7,9,0,0,7,0,20
100,1,8,7,0,0,2,0,20
100,1,9,11,0,0,6,0,20
0,2,0,20,0,0,0,0,20
0,2,1,16,0,0,0,0,20
0,2,2,19,0,0,0,0,20
0,2,3,20,0,0,0,0,20
0,2,5,20,0,0,0,0,20
0,2,6,19,0,0,0,0,20
0,2,7,19,0,0,0,0,20
1,2,0,19,0,0,0,0,20
1,2,1,19,0,0,0,0,20
1,2,2,20,0,0,0,0,20
1,2,3,18,0,0,0,0,20
1,2,5,19,0,0,0,0,20
1,2,6,20,0,0,0,0,20
1,2,7,15,5,0,0,0,20
10,2,0,17,0,0,0,0,20
10,2,1,15,0,0,0,0,20
10,2,2,18,0,0,0,0,20
10,2,3,19,0,0,1,0,20
10,2,5,14,0,0,5,0,20
10,2,6,13,1,0,0,2,20
10,2,7,9,2,0,1,2,20
100,2,0,11,0,0,0,0,20
100,2,1,7,0,0,0,0,20
100,2,2,19,0,0,0,0,20
100,2,3,15,0,0,5,0,20
100,2,5,1,0,0,13,0,20
100,2,6,1,0,0,11,0,20
100,2,7,5,0,0,10,0,20
0,3,0,20,0,0,0,0,20
0,3,1,13,0,0,0,0,20
0,3,2,20,0,0,0,0,20
0,3,3,19,0,0,0,0,20
0,3,5,16,1,0,0,0,20
0,3,6,17,0,2,0,0,20
0,3,7,11,7,1,0,0,20
1,3,0,14,0,0,0,0,20
1,3,1,17,0,0,0,0,20
1,3,2,20,0,0,0,0,20
1,3,3,19,0,0,0,0,20
1,3,5,14,1,2,0,0,20
1,3,6,7,2,0,0,2,20
1,3,7,12,1,2,0,0,20
10,3,0,19,0,0,0,0,20
10,3,1,20,0,0,0,0,20
10,3,2,19,0,0,0,0,20
10,3,3,20,0,0,0,0,20
10,3,5,10,4,0,0,0,20
10,3,6,5,0,0,0,6,20
10,3,7,5,1,0,0,5,20
100,3,0,5,0,0,0,0,20
100,3,1,18,0,0,0,0,20
100,3,2,11,0,0,8,0,20
100,3,3,8,0,0,10,0,20
100,3,5,0,0,0,10,0,20
100,3,6,2,,0,4,0,20
100,3,7,1,0,0,6,0,20
